column,type,trained,metric_primary,metric_secondary,fallback
Sweet_Consumers,regression,True,mse=0.19481,r2=0.2175,none
Spreads_Consumers,regression,True,mse=0.21045,r2=0.1582,none
Vegetable_Consumers,regression,True,mse=0.06133,r2=0.5858,none
Fruit_Consumers,regression,True,mse=0.08802,r2=0.4201,none
Vegetarian_Intake,regression,True,mse=0.03005,r2=0.1757,none
Milk_Type_Consumed,regression,True,mse=180268.51615,r2=0.2382,none
Spent_Doing_Moderate_Physical_Activity,regression,True,mse=0.14973,r2=0.1860,none
cataract_time,skipped_excluded,False,,,none
Retinol,regression,True,mse=7209.44864,r2=0.8217,none
glaucoma_time,skipped_excluded,False,,,none
AMD_time,skipped_excluded,False,,,none
DR_time,skipped_excluded,False,,,none
