"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
-0.48688,0.061156,0.11895,-4.0072e-20,1.5098,0.62538,0
-0.49771,0.096858,0.088357,-7.5751e-20,1.5958,0.66101,0
-0.50871,0.13787,0.053173,-1.1226e-20,1.685,0.69795,0
-0.51894,0.1844,0.013409,1.955e-21,1.7775,0.73628,0
-0.52723,0.23651,-0.030862,1.845e-21,1.8735,0.77602,0
-0.53214,0.29394,-0.079238,8.5654e-21,1.973,0.81724,0
-0.53208,0.35583,-0.13075,-2.2882e-21,2.0762,0.86,0
-0.52549,0.42052,-0.18371,-2.1127e-20,2.1833,0.90434,0
-0.51105,0.48556,-0.23575,-3.9765e-20,2.2943,0.95033,0
-0.48803,0.54791,-0.28402,3.5195e-20,2.4095,0.99803,0
-0.4565,0.60414,-0.32568,1.8795e-19,2.5289,1.0475,0
-0.4167,0.6551,-0.35688,1.2142e-19,2.6528,1.0988,0
-0.37574,0.68421,-0.37718,-1.0461e-19,2.7812,1.152,0
-0.46581,-0.028875,0.074191,1.6789e-20,0.95295,0.48554,0
-0.4675,0,0,0,0.89101,0.45399,0
-0.46339,-0.040075,0.12333,2.669e-20,1.0172,0.51827,0
-0.46286,-0.035975,0.15205,8.6078e-21,1.0838,0.5522,0
-0.46423,-0.020879,0.16345,-1.2955e-20,1.1529,0.58741,0
-0.46765,0.0028578,0.1615,1.2748e-20,1.2246,0.62391,0
-0.47317,0.033957,0.14973,3.6332e-20,1.2989,0.66178,0
-0.4806,0.071772,0.13073,-8.2448e-21,1.376,0.70105,0
-0.48953,0.11612,0.10606,-5.794e-20,1.456,0.74178,0
-0.49938,0.16716,0.076575,-3.1495e-20,1.5389,0.78402,0
-0.50935,0.22524,0.042638,3.5279e-20,1.6249,0.82784,0
-0.51837,0.29053,0.0044092,2.1427e-20,1.7142,0.87328,0
-0.5251,0.36275,-0.037813,2.0712e-21,1.8067,0.92041,0
-0.52799,0.44081,-0.08331,4.4937e-21,1.9027,0.96929,0
-0.52539,0.52253,-0.13076,-1.5904e-21,2.0022,1.02,0
-0.51584,0.60466,-0.17819,1.9109e-20,2.1054,1.0726,0
-0.49831,0.68324,-0.22313,9.9823e-21,2.2125,1.1271,0
-0.47252,0.75429,-0.2629,5.0207e-20,2.3235,1.1837,0
-0.43913,0.81416,-0.29523,9.3535e-20,2.4387,1.2423,0
-0.399,0.86361,-0.31728,6.6335e-20,2.5581,1.3032,0
-0.36104,0.88817,-0.33113,-1.0507e-20,2.682,1.3663,0
-0.47362,-0.028115,0.060513,4.6546e-21,0.91188,0.55878,0
